type,name,res_id,src,value,fuzzy
error,calendar.event,0,    * ,    *,0
error,calendar.event,0,:,:,0
error,calendar.event,0,Cancelled Event: %s @ %s,Événement annulé : %s @ %s,0
error,calendar.event,0,Invitation: %s @ %s,Invitation: %s @ %s,0
error,calendar.event,0,(No Subject),(Pas de sujet),0
error,calendar.event,0,"This event has been canceled.

","Cet événement a été annulé.

",0
error,calendar.event,0,"This event has been changed.

","Cet événement a été modifié.

",0
error,calendar.event,0,Updated Invitation: %s @ %s,Invitation mise à jour : %s @ %s,0
error,calendar.event,0,When,,0
error,calendar.event,0,"You have been invited to the following event.

","Vous avez été invité à l'événement suivant.

",0
field,"calendar.attendee,schedule_agent",0,Schedule Agent,Client programmation,0
field,"calendar.attendee,schedule_status",0,Schedule Status,Statut programmation,0
field,"res.user,calendar_email_notification_cancel",0,Cancelled invitations,Événement annulés,0
field,"res.user,calendar_email_notification_new",0,New invitations,Nouveaux événements,0
field,"res.user,calendar_email_notification_update",0,Changed invitations,Événements mis à jour,0
selection,"calendar.attendee,schedule_agent",0,,,0
selection,"calendar.attendee,schedule_agent",0,Client,Client,0
selection,"calendar.attendee,schedule_agent",0,None,Aucun,1
selection,"calendar.attendee,schedule_agent",0,Server,Serveur,0
selection,"calendar.attendee,schedule_status",0,,,0
selection,"calendar.attendee,schedule_status",0,1.0,1.0,0
selection,"calendar.attendee,schedule_status",0,1.1,1.1,0
selection,"calendar.attendee,schedule_status",0,1.2,1.2,0
selection,"calendar.attendee,schedule_status",0,3.7,3.7,0
selection,"calendar.attendee,schedule_status",0,3.8,3.8,0
selection,"calendar.attendee,schedule_status",0,5.1,5.1,0
selection,"calendar.attendee,schedule_status",0,5.2,5.1,0
selection,"calendar.attendee,schedule_status",0,5.3,5.3,0
view,res.user,0,Calendar Email Notifications,Avertissements calendrier par mail,0
view,res.user,0,Notifications,Avertissements,0
